Epoch   0 | avg_return = 0.25 | loss: val = 2.98, pol = -1.76 | time = 12.94 | emb_accuracy = 0.26
Epoch   1 | avg_return = 0.27 | loss: val = 3.05, pol = 2.63 | time = 12.65 | emb_accuracy = 0.23
Epoch   2 | avg_return = 0.28 | loss: val = 3.30, pol = 2.10 | time = 12.67 | emb_accuracy = 0.33
Epoch   3 | avg_return = 0.30 | loss: val = 3.36, pol = 3.94 | time = 12.05 | emb_accuracy = 0.36
Epoch   4 | avg_return = 0.27 | loss: val = 3.63, pol = -2.95 | time = 11.99 | emb_accuracy = 0.41
Epoch   5 | avg_return = 0.24 | loss: val = 2.86, pol = -2.31 | time = 12.37 | emb_accuracy = 0.36
Epoch   6 | avg_return = 0.28 | loss: val = 3.21, pol = 5.35 | time = 12.13 | emb_accuracy = 0.42
Epoch   7 | avg_return = 0.29 | loss: val = 3.25, pol = 0.68 | time = 12.01 | emb_accuracy = 0.37
Epoch   8 | avg_return = 0.26 | loss: val = 3.11, pol = -4.82 | time = 12.02 | emb_accuracy = 0.44
Epoch   9 | avg_return = 0.27 | loss: val = 3.09, pol = 3.44 | time = 12.10 | emb_accuracy = 0.54
Epoch  10 | avg_return = 0.25 | loss: val = 2.96, pol = 0.80 | time = 12.00 | emb_accuracy = 0.49
Epoch  11 | avg_return = 0.28 | loss: val = 3.02, pol = 1.90 | time = 12.38 | emb_accuracy = 0.44
Epoch  12 | avg_return = 0.32 | loss: val = 3.41, pol = 2.25 | time = 12.20 | emb_accuracy = 0.52
Epoch  13 | avg_return = 0.26 | loss: val = 3.13, pol = 0.38 | time = 12.10 | emb_accuracy = 0.45
Epoch  14 | avg_return = 0.23 | loss: val = 2.79, pol = -2.22 | time = 11.99 | emb_accuracy = 0.48
Epoch  15 | avg_return = 0.29 | loss: val = 3.40, pol = 3.05 | time = 11.99 | emb_accuracy = 0.58
Epoch  16 | avg_return = 0.25 | loss: val = 2.90, pol = -0.29 | time = 11.98 | emb_accuracy = 0.49
Epoch  17 | avg_return = 0.28 | loss: val = 3.21, pol = 2.22 | time = 11.97 | emb_accuracy = 0.59
Epoch  18 | avg_return = 0.26 | loss: val = 2.95, pol = -0.74 | time = 12.12 | emb_accuracy = 0.63
Epoch  19 | avg_return = 0.27 | loss: val = 3.08, pol = -1.20 | time = 12.00 | emb_accuracy = 0.61
Epoch  20 | avg_return = 0.26 | loss: val = 2.92, pol = 2.42 | time = 12.21 | emb_accuracy = 0.55
Epoch  21 | avg_return = 0.28 | loss: val = 3.14, pol = 1.59 | time = 12.16 | emb_accuracy = 0.54
Epoch  22 | avg_return = 0.29 | loss: val = 3.19, pol = -0.88 | time = 12.33 | emb_accuracy = 0.66
Epoch  23 | avg_return = 0.27 | loss: val = 3.03, pol = -0.36 | time = 12.69 | emb_accuracy = 0.60
Epoch  24 | avg_return = 0.26 | loss: val = 3.01, pol = 0.99 | time = 12.50 | emb_accuracy = 0.55
Epoch  25 | avg_return = 0.27 | loss: val = 3.18, pol = -0.46 | time = 12.59 | emb_accuracy = 0.67
