Epoch 180 | avg_return = 0.19 | loss: val = 0.76, pol = 0.13 | time = 4.50 | emb_accuracy = 0.91
Epoch 181 | avg_return = 0.20 | loss: val = 0.83, pol = 0.26 | time = 4.48 | emb_accuracy = 0.91
Epoch 182 | avg_return = 0.20 | loss: val = 0.82, pol = -0.18 | time = 4.44 | emb_accuracy = 0.91
Epoch 183 | avg_return = 0.17 | loss: val = 0.74, pol = 0.04 | time = 4.39 | emb_accuracy = 0.91
Epoch 184 | avg_return = 0.17 | loss: val = 0.72, pol = 0.22 | time = 4.36 | emb_accuracy = 0.91
Epoch 185 | avg_return = 0.17 | loss: val = 0.72, pol = 0.18 | time = 4.36 | emb_accuracy = 0.90
Epoch 186 | avg_return = 0.19 | loss: val = 0.75, pol = -0.08 | time = 4.33 | emb_accuracy = 0.91
Epoch 187 | avg_return = 0.19 | loss: val = 0.80, pol = 0.06 | time = 4.41 | emb_accuracy = 0.91
Epoch 188 | avg_return = 0.18 | loss: val = 0.77, pol = -0.01 | time = 4.33 | emb_accuracy = 0.91
Epoch 189 | avg_return = 0.18 | loss: val = 0.76, pol = -0.10 | time = 4.34 | emb_accuracy = 0.90
Epoch 190 | avg_return = 0.18 | loss: val = 0.80, pol = -0.04 | time = 4.31 | emb_accuracy = 0.91
Epoch 191 | avg_return = 0.18 | loss: val = 0.75, pol = -0.09 | time = 4.32 | emb_accuracy = 0.91
Epoch 192 | avg_return = 0.18 | loss: val = 0.77, pol = 0.00 | time = 4.32 | emb_accuracy = 0.91
Epoch 193 | avg_return = 0.19 | loss: val = 0.79, pol = 0.08 | time = 4.32 | emb_accuracy = 0.91
Epoch 194 | avg_return = 0.18 | loss: val = 0.75, pol = -0.02 | time = 4.43 | emb_accuracy = 0.91
Epoch 195 | avg_return = 0.19 | loss: val = 0.78, pol = 0.26 | time = 4.31 | emb_accuracy = 0.91
Epoch 196 | avg_return = 0.18 | loss: val = 0.76, pol = -0.08 | time = 4.33 | emb_accuracy = 0.91
Epoch 197 | avg_return = 0.20 | loss: val = 0.81, pol = 0.07 | time = 4.33 | emb_accuracy = 0.91
Epoch 198 | avg_return = 0.18 | loss: val = 0.74, pol = -0.14 | time = 4.33 | emb_accuracy = 0.91
Epoch 199 | avg_return = 0.20 | loss: val = 0.82, pol = 0.28 | time = 4.32 | emb_accuracy = 0.91
