Epoch   0 | avg_return = 0.25 | loss: val = 3.03, pol = -0.17 | time = 13.04 | emb_accuracy = 0.27
Epoch   1 | avg_return = 0.25 | loss: val = 2.92, pol = 3.41 | time = 13.06 | emb_accuracy = 0.34
Epoch   2 | avg_return = 0.29 | loss: val = 3.39, pol = 6.32 | time = 13.00 | emb_accuracy = 0.41
Epoch   3 | avg_return = 0.28 | loss: val = 3.74, pol = -5.39 | time = 13.00 | emb_accuracy = 0.32
Epoch   4 | avg_return = 0.26 | loss: val = 3.11, pol = 3.10 | time = 12.96 | emb_accuracy = 0.39
Epoch   5 | avg_return = 0.29 | loss: val = 3.37, pol = 0.63 | time = 13.04 | emb_accuracy = 0.42
Epoch   6 | avg_return = 0.26 | loss: val = 3.04, pol = 1.83 | time = 12.98 | emb_accuracy = 0.43
Epoch   7 | avg_return = 0.27 | loss: val = 3.15, pol = -1.62 | time = 13.50 | emb_accuracy = 0.48
Epoch   8 | avg_return = 0.26 | loss: val = 2.99, pol = 2.93 | time = 13.39 | emb_accuracy = 0.47
Epoch   9 | avg_return = 0.25 | loss: val = 2.90, pol = -0.82 | time = 13.16 | emb_accuracy = 0.40
Epoch  10 | avg_return = 0.25 | loss: val = 3.01, pol = -0.32 | time = 13.00 | emb_accuracy = 0.45
Epoch  11 | avg_return = 0.29 | loss: val = 3.31, pol = 4.46 | time = 13.02 | emb_accuracy = 0.40
Epoch  12 | avg_return = 0.27 | loss: val = 3.06, pol = -0.31 | time = 13.08 | emb_accuracy = 0.56
Epoch  13 | avg_return = 0.26 | loss: val = 3.07, pol = -1.77 | time = 13.04 | emb_accuracy = 0.45
Epoch  14 | avg_return = 0.26 | loss: val = 2.97, pol = 3.07 | time = 13.12 | emb_accuracy = 0.48
Epoch  15 | avg_return = 0.29 | loss: val = 3.30, pol = 2.33 | time = 13.06 | emb_accuracy = 0.59
Epoch  16 | avg_return = 0.25 | loss: val = 3.03, pol = -2.52 | time = 13.04 | emb_accuracy = 0.55
Epoch  17 | avg_return = 0.27 | loss: val = 3.06, pol = 2.23 | time = 13.02 | emb_accuracy = 0.54
Epoch  18 | avg_return = 0.27 | loss: val = 3.00, pol = 0.66 | time = 13.03 | emb_accuracy = 0.61
Epoch  19 | avg_return = 0.26 | loss: val = 3.01, pol = 0.27 | time = 13.18 | emb_accuracy = 0.53
Epoch  20 | avg_return = 0.27 | loss: val = 3.10, pol = 1.87 | time = 13.06 | emb_accuracy = 0.56
Epoch  21 | avg_return = 0.27 | loss: val = 2.98, pol = 0.73 | time = 13.05 | emb_accuracy = 0.49
Epoch  22 | avg_return = 0.28 | loss: val = 3.20, pol = 2.09 | time = 13.07 | emb_accuracy = 0.57
Epoch  23 | avg_return = 0.26 | loss: val = 3.00, pol = 0.89 | time = 13.07 | emb_accuracy = 0.53
Epoch  24 | avg_return = 0.27 | loss: val = 3.09, pol = -0.70 | time = 13.03 | emb_accuracy = 0.64
Epoch  25 | avg_return = 0.28 | loss: val = 3.08, pol = -1.19 | time = 13.17 | emb_accuracy = 0.63
Epoch  26 | avg_return = 0.28 | loss: val = 3.17, pol = 0.53 | time = 13.00 | emb_accuracy = 0.69
Epoch  27 | avg_return = 0.27 | loss: val = 3.01, pol = 1.19 | time = 13.19 | emb_accuracy = 0.67
Epoch  28 | avg_return = 0.25 | loss: val = 2.86, pol = -1.84 | time = 13.12 | emb_accuracy = 0.64
Epoch  29 | avg_return = 0.24 | loss: val = 2.79, pol = 0.09 | time = 13.03 | emb_accuracy = 0.59
Epoch  30 | avg_return = 0.28 | loss: val = 3.08, pol = 1.81 | time = 12.99 | emb_accuracy = 0.69
Epoch  31 | avg_return = 0.29 | loss: val = 3.14, pol = 1.05 | time = 13.08 | emb_accuracy = 0.73
Epoch  32 | avg_return = 0.27 | loss: val = 3.02, pol = 1.09 | time = 13.24 | emb_accuracy = 0.72
Epoch  33 | avg_return = 0.26 | loss: val = 3.02, pol = 0.09 | time = 13.04 | emb_accuracy = 0.61
Epoch  34 | avg_return = 0.25 | loss: val = 2.91, pol = 0.96 | time = 13.15 | emb_accuracy = 0.71
Epoch  35 | avg_return = 0.28 | loss: val = 3.14, pol = 1.16 | time = 13.06 | emb_accuracy = 0.66
Epoch  36 | avg_return = 0.26 | loss: val = 3.08, pol = 1.36 | time = 13.03 | emb_accuracy = 0.62
Epoch  37 | avg_return = 0.26 | loss: val = 3.04, pol = 0.61 | time = 13.35 | emb_accuracy = 0.71
Epoch  38 | avg_return = 0.27 | loss: val = 3.01, pol = -0.54 | time = 13.01 | emb_accuracy = 0.74
Epoch  39 | avg_return = 0.23 | loss: val = 2.79, pol = -2.37 | time = 13.03 | emb_accuracy = 0.65
Epoch  40 | avg_return = 0.26 | loss: val = 2.94, pol = 1.38 | time = 13.05 | emb_accuracy = 0.77
Epoch  41 | avg_return = 0.29 | loss: val = 3.17, pol = 2.11 | time = 13.14 | emb_accuracy = 0.67
Epoch  42 | avg_return = 0.27 | loss: val = 3.04, pol = -0.88 | time = 13.04 | emb_accuracy = 0.77
Epoch  43 | avg_return = 0.25 | loss: val = 2.86, pol = 0.11 | time = 13.02 | emb_accuracy = 0.74
Epoch  44 | avg_return = 0.27 | loss: val = 3.07, pol = 2.25 | time = 13.02 | emb_accuracy = 0.71
Epoch  45 | avg_return = 0.28 | loss: val = 3.09, pol = 0.33 | time = 13.05 | emb_accuracy = 0.74
Epoch  46 | avg_return = 0.25 | loss: val = 2.89, pol = -0.99 | time = 13.09 | emb_accuracy = 0.72
Epoch  47 | avg_return = 0.28 | loss: val = 3.05, pol = 0.55 | time = 13.02 | emb_accuracy = 0.75
Epoch  48 | avg_return = 0.26 | loss: val = 3.00, pol = -2.12 | time = 13.22 | emb_accuracy = 0.68
Epoch  49 | avg_return = 0.30 | loss: val = 3.20, pol = 0.57 | time = 12.97 | emb_accuracy = 0.78
Epoch  50 | avg_return = 0.30 | loss: val = 3.36, pol = 0.49 | time = 13.00 | emb_accuracy = 0.79
Epoch  51 | avg_return = 0.28 | loss: val = 3.06, pol = 0.32 | time = 13.08 | emb_accuracy = 0.68
Epoch  52 | avg_return = 0.29 | loss: val = 3.21, pol = -1.24 | time = 13.04 | emb_accuracy = 0.76
Epoch  53 | avg_return = 0.26 | loss: val = 2.99, pol = -1.55 | time = 13.31 | emb_accuracy = 0.70
Epoch  54 | avg_return = 0.27 | loss: val = 3.12, pol = 2.60 | time = 13.33 | emb_accuracy = 0.74
Epoch  55 | avg_return = 0.28 | loss: val = 3.15, pol = -1.48 | time = 13.19 | emb_accuracy = 0.79
Epoch  56 | avg_return = 0.28 | loss: val = 3.27, pol = -0.53 | time = 13.03 | emb_accuracy = 0.76
Epoch  57 | avg_return = 0.26 | loss: val = 2.87, pol = 0.24 | time = 13.05 | emb_accuracy = 0.66
Epoch  58 | avg_return = 0.30 | loss: val = 3.27, pol = 1.01 | time = 13.03 | emb_accuracy = 0.79
Epoch  59 | avg_return = 0.27 | loss: val = 3.03, pol = -0.34 | time = 13.03 | emb_accuracy = 0.81
Epoch  60 | avg_return = 0.28 | loss: val = 3.08, pol = -0.73 | time = 13.07 | emb_accuracy = 0.68
Epoch  61 | avg_return = 0.27 | loss: val = 2.95, pol = -0.01 | time = 13.04 | emb_accuracy = 0.74
Epoch  62 | avg_return = 0.30 | loss: val = 3.28, pol = 3.69 | time = 13.32 | emb_accuracy = 0.80
Epoch  63 | avg_return = 0.27 | loss: val = 2.96, pol = -0.46 | time = 13.01 | emb_accuracy = 0.81
Epoch  64 | avg_return = 0.28 | loss: val = 3.04, pol = 1.02 | time = 13.07 | emb_accuracy = 0.77
Epoch  65 | avg_return = 0.29 | loss: val = 3.18, pol = -2.40 | time = 13.03 | emb_accuracy = 0.82
Epoch  66 | avg_return = 0.27 | loss: val = 3.06, pol = -1.38 | time = 13.03 | emb_accuracy = 0.78
Epoch  67 | avg_return = 0.30 | loss: val = 3.14, pol = 2.20 | time = 13.03 | emb_accuracy = 0.74
Epoch  68 | avg_return = 0.34 | loss: val = 3.35, pol = 0.49 | time = 13.09 | emb_accuracy = 0.75
Epoch  69 | avg_return = 0.31 | loss: val = 3.27, pol = -1.95 | time = 13.08 | emb_accuracy = 0.79
Epoch  70 | avg_return = 0.29 | loss: val = 3.15, pol = 1.96 | time = 13.06 | emb_accuracy = 0.77
Epoch  71 | avg_return = 0.27 | loss: val = 2.97, pol = -0.55 | time = 13.01 | emb_accuracy = 0.79
Epoch  72 | avg_return = 0.32 | loss: val = 3.37, pol = 2.60 | time = 13.01 | emb_accuracy = 0.87
Epoch  73 | avg_return = 0.28 | loss: val = 3.24, pol = -4.61 | time = 13.11 | emb_accuracy = 0.72
Epoch  74 | avg_return = 0.31 | loss: val = 3.27, pol = -1.61 | time = 13.10 | emb_accuracy = 0.78
Epoch  75 | avg_return = 0.32 | loss: val = 3.36, pol = 0.01 | time = 13.13 | emb_accuracy = 0.85
Epoch  76 | avg_return = 0.30 | loss: val = 3.18, pol = -1.02 | time = 13.03 | emb_accuracy = 0.79
Epoch  77 | avg_return = 0.30 | loss: val = 3.33, pol = 0.81 | time = 13.09 | emb_accuracy = 0.84
Epoch  78 | avg_return = 0.28 | loss: val = 3.34, pol = -4.90 | time = 13.17 | emb_accuracy = 0.84
Epoch  79 | avg_return = 0.29 | loss: val = 3.31, pol = -2.13 | time = 13.38 | emb_accuracy = 0.71
Epoch  80 | avg_return = 0.26 | loss: val = 2.93, pol = 0.72 | time = 13.06 | emb_accuracy = 0.84
Epoch  81 | avg_return = 0.30 | loss: val = 3.50, pol = 5.29 | time = 13.08 | emb_accuracy = 0.76
Epoch  82 | avg_return = 0.32 | loss: val = 3.31, pol = -3.00 | time = 13.08 | emb_accuracy = 0.79
Epoch  83 | avg_return = 0.27 | loss: val = 3.06, pol = -2.52 | time = 13.21 | emb_accuracy = 0.75
Epoch  84 | avg_return = 0.32 | loss: val = 3.26, pol = -0.18 | time = 13.03 | emb_accuracy = 0.83
Epoch  85 | avg_return = 0.35 | loss: val = 3.44, pol = -0.87 | time = 13.04 | emb_accuracy = 0.85
Epoch  86 | avg_return = 0.35 | loss: val = 3.46, pol = -1.28 | time = 13.04 | emb_accuracy = 0.80
Epoch  87 | avg_return = 0.27 | loss: val = 2.94, pol = -1.44 | time = 13.11 | emb_accuracy = 0.65
Epoch  88 | avg_return = 0.29 | loss: val = 3.17, pol = -2.49 | time = 13.04 | emb_accuracy = 0.83
Epoch  89 | avg_return = 0.33 | loss: val = 3.38, pol = 0.14 | time = 13.03 | emb_accuracy = 0.85
Epoch  90 | avg_return = 0.27 | loss: val = 3.08, pol = -0.62 | time = 13.01 | emb_accuracy = 0.77
Epoch  91 | avg_return = 0.30 | loss: val = 3.19, pol = -0.30 | time = 13.10 | emb_accuracy = 0.87
Epoch  92 | avg_return = 0.32 | loss: val = 3.19, pol = -1.38 | time = 13.11 | emb_accuracy = 0.85
Epoch  93 | avg_return = 0.31 | loss: val = 3.36, pol = -1.46 | time = 13.03 | emb_accuracy = 0.80
Epoch  94 | avg_return = 0.29 | loss: val = 3.10, pol = -0.27 | time = 13.21 | emb_accuracy = 0.86
Epoch  95 | avg_return = 0.29 | loss: val = 3.34, pol = -3.22 | time = 13.01 | emb_accuracy = 0.76
Epoch  96 | avg_return = 0.33 | loss: val = 3.35, pol = 0.12 | time = 13.12 | emb_accuracy = 0.89
Epoch  97 | avg_return = 0.29 | loss: val = 3.06, pol = -1.35 | time = 13.08 | emb_accuracy = 0.89
Epoch  98 | avg_return = 0.29 | loss: val = 3.04, pol = -1.52 | time = 13.03 | emb_accuracy = 0.76
Epoch  99 | avg_return = 0.31 | loss: val = 3.06, pol = 0.80 | time = 13.50 | emb_accuracy = 0.73
Epoch 100 | avg_return = 0.33 | loss: val = 3.35, pol = -0.72 | time = 13.64 | emb_accuracy = 0.87
Epoch 101 | avg_return = 0.30 | loss: val = 3.00, pol = 1.40 | time = 13.12 | emb_accuracy = 0.89
Epoch 102 | avg_return = 0.30 | loss: val = 3.41, pol = -2.56 | time = 13.07 | emb_accuracy = 0.87
Epoch 103 | avg_return = 0.31 | loss: val = 3.32, pol = -2.28 | time = 13.06 | emb_accuracy = 0.73
Epoch 104 | avg_return = 0.30 | loss: val = 3.19, pol = -0.40 | time = 13.03 | emb_accuracy = 0.85
Epoch 105 | avg_return = 0.32 | loss: val = 3.27, pol = -1.57 | time = 13.06 | emb_accuracy = 0.84
Epoch 106 | avg_return = 0.36 | loss: val = 3.46, pol = -0.10 | time = 13.09 | emb_accuracy = 0.83
Epoch 107 | avg_return = 0.34 | loss: val = 3.32, pol = -2.01 | time = 13.08 | emb_accuracy = 0.86
Epoch 108 | avg_return = 0.31 | loss: val = 3.07, pol = -1.33 | time = 13.03 | emb_accuracy = 0.86
Epoch 109 | avg_return = 0.32 | loss: val = 3.28, pol = -1.50 | time = 13.03 | emb_accuracy = 0.79
Epoch 110 | avg_return = 0.35 | loss: val = 3.42, pol = 0.03 | time = 13.09 | emb_accuracy = 0.89
Epoch 111 | avg_return = 0.28 | loss: val = 3.32, pol = -3.68 | time = 13.06 | emb_accuracy = 0.80
Epoch 112 | avg_return = 0.26 | loss: val = 2.94, pol = 1.36 | time = 13.06 | emb_accuracy = 0.68
Epoch 113 | avg_return = 0.29 | loss: val = 3.05, pol = 0.15 | time = 13.05 | emb_accuracy = 0.75
Epoch 114 | avg_return = 0.33 | loss: val = 3.28, pol = -1.45 | time = 13.06 | emb_accuracy = 0.92
Epoch 115 | avg_return = 0.37 | loss: val = 3.41, pol = 0.67 | time = 13.23 | emb_accuracy = 0.83
Epoch 116 | avg_return = 0.35 | loss: val = 3.30, pol = -2.31 | time = 13.06 | emb_accuracy = 0.79
Epoch 117 | avg_return = 0.30 | loss: val = 3.19, pol = -3.20 | time = 13.06 | emb_accuracy = 0.82
Epoch 118 | avg_return = 0.29 | loss: val = 3.13, pol = -0.78 | time = 13.02 | emb_accuracy = 0.85
Epoch 119 | avg_return = 0.33 | loss: val = 3.21, pol = -1.32 | time = 13.14 | emb_accuracy = 0.88
Epoch 120 | avg_return = 0.39 | loss: val = 3.40, pol = -2.57 | time = 13.06 | emb_accuracy = 0.92
Epoch 121 | avg_return = 0.37 | loss: val = 3.46, pol = 0.81 | time = 13.08 | emb_accuracy = 0.84
Epoch 122 | avg_return = 0.31 | loss: val = 3.22, pol = -3.61 | time = 13.04 | emb_accuracy = 0.79
Epoch 123 | avg_return = 0.29 | loss: val = 3.06, pol = -0.45 | time = 13.19 | emb_accuracy = 0.75
Epoch 124 | avg_return = 0.27 | loss: val = 2.90, pol = -0.25 | time = 13.14 | emb_accuracy = 0.79
Epoch 125 | avg_return = 0.29 | loss: val = 3.26, pol = 2.86 | time = 13.50 | emb_accuracy = 0.88
Epoch 126 | avg_return = 0.30 | loss: val = 2.97, pol = -1.74 | time = 13.08 | emb_accuracy = 0.81
Epoch 127 | avg_return = 0.29 | loss: val = 3.16, pol = 3.71 | time = 13.07 | emb_accuracy = 0.78
Epoch 128 | avg_return = 0.34 | loss: val = 3.34, pol = -1.01 | time = 13.10 | emb_accuracy = 0.82
Epoch 129 | avg_return = 0.34 | loss: val = 3.27, pol = -2.75 | time = 13.10 | emb_accuracy = 0.80
Epoch 130 | avg_return = 0.33 | loss: val = 3.26, pol = -2.08 | time = 13.04 | emb_accuracy = 0.85
Epoch 131 | avg_return = 0.34 | loss: val = 3.14, pol = -0.76 | time = 13.10 | emb_accuracy = 0.74
Epoch 132 | avg_return = 0.39 | loss: val = 3.56, pol = 0.00 | time = 13.13 | emb_accuracy = 0.79
Epoch 133 | avg_return = 0.35 | loss: val = 3.30, pol = -1.97 | time = 13.41 | emb_accuracy = 0.80
Epoch 134 | avg_return = 0.34 | loss: val = 3.12, pol = -3.50 | time = 13.25 | emb_accuracy = 0.81
Epoch 135 | avg_return = 0.32 | loss: val = 2.92, pol = -2.22 | time = 13.21 | emb_accuracy = 0.82
Epoch 136 | avg_return = 0.35 | loss: val = 3.31, pol = -2.48 | time = 13.18 | emb_accuracy = 0.87
Epoch 137 | avg_return = 0.32 | loss: val = 3.12, pol = -0.97 | time = 13.12 | emb_accuracy = 0.82
Epoch 138 | avg_return = 0.35 | loss: val = 3.31, pol = -2.32 | time = 13.20 | emb_accuracy = 0.82
Epoch 139 | avg_return = 0.35 | loss: val = 3.03, pol = -3.25 | time = 13.06 | emb_accuracy = 0.76
Epoch 140 | avg_return = 0.34 | loss: val = 3.16, pol = -0.73 | time = 13.13 | emb_accuracy = 0.82
Epoch 141 | avg_return = 0.34 | loss: val = 3.35, pol = -2.06 | time = 13.19 | emb_accuracy = 0.87
Epoch 142 | avg_return = 0.39 | loss: val = 3.34, pol = 0.24 | time = 13.47 | emb_accuracy = 0.81
Epoch 143 | avg_return = 0.40 | loss: val = 3.34, pol = -1.30 | time = 13.16 | emb_accuracy = 0.89
Epoch 144 | avg_return = 0.36 | loss: val = 3.16, pol = -1.97 | time = 13.42 | emb_accuracy = 0.84
Epoch 145 | avg_return = 0.30 | loss: val = 3.17, pol = -6.95 | time = 13.96 | emb_accuracy = 0.85
Epoch 146 | avg_return = 0.36 | loss: val = 3.67, pol = 1.59 | time = 14.34 | emb_accuracy = 0.87
Epoch 147 | avg_return = 0.34 | loss: val = 3.38, pol = -0.68 | time = 15.98 | emb_accuracy = 0.86
Epoch 148 | avg_return = 0.34 | loss: val = 3.22, pol = -1.40 | time = 14.24 | emb_accuracy = 0.83
Epoch 149 | avg_return = 0.41 | loss: val = 3.37, pol = -1.36 | time = 13.76 | emb_accuracy = 0.89
Epoch 150 | avg_return = 0.37 | loss: val = 3.45, pol = -3.35 | time = 13.46 | emb_accuracy = 0.82
Epoch 151 | avg_return = 0.30 | loss: val = 3.04, pol = -3.67 | time = 13.45 | emb_accuracy = 0.80
